+----------+--------------------------+--------------+------------------+-----------------+------------------+-----------------+--------------------------+---------------------------------------------------------------+-------------------------------------------------------------------------+
| Position |           Name           |    Price     | 24h price change | 7d price change |    Market cap    |    Volume 24h   |    Circulating suply     |                              Logo                             |                              7d price graph                             |
|    77    |        Enjin Coin        |    $1.29     |      -8.37%      |      -5.81%     |  $1,140,950,925  |   $136,198,961  |     881,914,706 ENJ      |  https://s2.coinmarketcap.com/static/img/coins/64x64/2130.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2130.svg |
|    78    |         Loopring         |   $0.8441    |      -9.86%      |      +1.08%     |  $1,122,362,077  |   $118,531,013  |    1,329,714,437 LRC     |  https://s2.coinmarketcap.com/static/img/coins/64x64/1934.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1934.svg |
|    79    |  Basic Attention Token   |   $0.6844    |      -6.84%      |      -5.85%     |  $1,024,992,655  |   $85,146,857   |    1,497,584,822 BAT     |  https://s2.coinmarketcap.com/static/img/coins/64x64/1697.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1697.svg |
|    80    |           Dash           |    $94.24    |      -7.35%      |      -8.01%     |  $1,007,514,988  |   $175,051,686  |     10,690,494 DASH      |  https://s2.coinmarketcap.com/static/img/coins/64x64/131.png  |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/131.svg  |
|    81    |           Mina           |    $2.03     |     -10.58%      |      -8.07%     |   $962,748,640   |   $45,801,211   |     474,199,268 MINA     |  https://s2.coinmarketcap.com/static/img/coins/64x64/8646.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8646.svg |
|    82    |        Pax Dollar        |    $1.00     |      +0.53%      |      +0.03%     |   $947,412,995   |   $10,272,182   |     945,642,940 USDP     |  https://s2.coinmarketcap.com/static/img/coins/64x64/3330.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3330.svg |
|    83    |       Neutrino USD       |   $0.9671    |      -0.60%      |      -1.60%     |   $940,751,895   |   $16,045,838   |     972,802,636 USDN     |  https://s2.coinmarketcap.com/static/img/coins/64x64/5068.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5068.svg |
|    84    |           Amp            |   $0.02206   |      +0.59%      |      +4.29%     |   $931,416,534   |   $21,629,434   |    42,227,702,186 AMP    |  https://s2.coinmarketcap.com/static/img/coins/64x64/6945.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6945.svg |
|    85    |           Kava           |    $4.94     |      -2.12%      |     +18.24%     |   $884,432,468   |   $220,909,429  |     179,110,959 KAVA     |  https://s2.coinmarketcap.com/static/img/coins/64x64/4846.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4846.svg |
|    86    | Kyber Network Crystal v2 |    $4.89     |      -3.79%      |     +21.28%     |   $868,777,136   |   $349,105,279  |     177,809,350 KNC      |  https://s2.coinmarketcap.com/static/img/coins/64x64/9444.png |  https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/9444.svg |
